[2026-01-14 19:16:20,941] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 8514
[2026-01-14 19:16:46,858] INFO django.server: "GET /admin/auth/user/add/?_changelist_filters=is_active__exact%3D1%26is_staff__exact%3D1%26is_superuser__exact%3D1 HTTP/1.1" 200 18137
[2026-01-14 19:16:46,887] INFO django.server: "GET /static/admin/css/forms.css HTTP/1.1" 200 8525
[2026-01-14 19:16:46,888] INFO django.server: "GET /static/admin/js/inlines.js HTTP/1.1" 200 15628
[2026-01-14 19:16:46,889] INFO django.server: "GET /static/admin/css/unusable_password_field.css HTTP/1.1" 200 663
[2026-01-14 19:16:46,889] INFO django.server: "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
[2026-01-14 19:16:46,896] INFO django.server: "GET /static/admin/css/widgets.css HTTP/1.1" 200 11973
[2026-01-14 19:16:46,901] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 8514
[2026-01-14 19:16:46,902] INFO django.server: "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
[2026-01-14 19:16:46,910] INFO django.server: "GET /static/admin/js/unusable_password_field.js HTTP/1.1" 200 1480
[2026-01-14 19:16:46,955] INFO django.server: "GET /static/admin/img/inline-delete.svg HTTP/1.1" 200 537
[2026-01-14 19:17:24,954] INFO django.server: "POST /admin/auth/user/add/?_changelist_filters=is_active__exact%3D1%26is_staff__exact%3D1%26is_superuser__exact%3D1 HTTP/1.1" 200 18379
[2026-01-14 19:17:25,226] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 8514
[2026-01-14 19:17:45,472] INFO django.server: "POST /admin/auth/user/add/?_changelist_filters=is_active__exact%3D1%26is_staff__exact%3D1%26is_superuser__exact%3D1 HTTP/1.1" 302 0
[2026-01-14 19:17:45,561] INFO django.server: "GET /admin/auth/user/6/change/?_changelist_filters=is_active__exact%3D1%26is_staff__exact%3D1%26is_superuser__exact%3D1 HTTP/1.1" 200 29252
[2026-01-14 19:17:45,588] INFO django.server: "GET /static/admin/js/calendar.js HTTP/1.1" 200 9141
[2026-01-14 19:17:45,600] INFO django.server: "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
[2026-01-14 19:17:45,601] INFO django.server: "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 15845
[2026-01-14 19:17:45,601] INFO django.server: "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19319
[2026-01-14 19:17:45,606] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 8514
[2026-01-14 19:17:45,668] INFO django.server: "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
[2026-01-14 19:17:45,668] INFO django.server: "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
[2026-01-14 19:17:45,669] INFO django.server: "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
[2026-01-14 19:17:49,187] INFO django.server: "GET /admin/auth/user/ HTTP/1.1" 200 15232
